hardware,sequence,baseline_ms,linear_ms,speedup
CPU,1024,28.004,5.413,5.17
CPU,2048,104.897,11.404,9.20
CPU,4096,490.193,24.147,20.30
H200,1024,0.325,0.166,1.96
H200,2048,0.302,0.165,1.83
H200,4096,0.785,0.181,4.33
